Date,Open,Close,High,Low,Volume_(BTC),Volume_(Currency),Weighted_Price
2015-08-04,284.48,285.5,286.47,282.0,5537.08806512,1578916.2475483315,284.9361567550903
2015-08-05,285.51,282.08,285.56,281.08,6198.86027083,1754570.549620636,283.09500188899307
2015-08-06,282.26,277.84,282.31,277.3,5605.69729327,1568360.659124678,279.8842539072639
2015-08-07,277.84,279.45,281.17,277.05,5023.69120683,1404563.205098463,279.5374630182153
2015-08-08,279.55,263.24,279.67,260.07,7026.58830342,1890548.450714634,271.14567747365976
2015-08-09,263.63,267.3,268.89,262.01,5058.79101009,1345470.6284604,265.7917267532569
2015-08-10,267.3,266.51,267.34,263.17,5486.28324263,1455354.338080722,265.5710659157014
2015-08-11,266.49,272.24,272.35,265.12,6621.48158545,1773843.444949777,267.68481402329166
2015-08-12,272.01,265.81,272.4,265.79,6127.52015684,1645354.775529736,268.4568398082292
2015-08-13,265.8,263.28,266.4,262.5,5806.75979018,1538122.2624872099,264.695943372
2015-08-14,263.21,266.77,267.98,263.05,7060.41839309,1879675.3384155713,266.1169967003472
2015-08-15,266.77,261.72,267.69,260.11,4660.41092297,1235655.594594154,265.64123277474306
2015-08-16,261.95,259.65,262.06,255.67,6182.47984768,1603525.243903201,259.63059983263196
2015-08-17,259.67,256.84,261.57,255.48,7487.60938156,1934043.249891652,258.19699764734725
2015-08-18,256.83,231.07,257.29,200.0,14458.76976245,3492086.990764014,250.11130974676388
2015-08-19,231.23,233.75,237.98,222.11,11884.89293111,2747032.4510671804,232.11169228694445
2015-08-20,233.75,236.07,238.2,230.27,8846.13338415,2075464.5001680157,234.54136069091666
2015-08-21,235.89,234.22,236.99,231.15,8203.79319452,1921517.1846792465,234.36141577393752
2015-08-22,234.23,232.75,234.44,222.68,7151.28689051,1634924.0236902628,230.23611149768055
2015-08-23,232.77,228.63,233.08,225.22,5475.0145398,1254401.919633464,229.68378383550694
2015-08-24,228.65,205.5,228.85,198.02,22638.58118337,4839220.808524972,217.48515694384028
2015-08-25,205.5,220.56,229.49,203.78,14688.9043895,3215994.507705589,218.82819421883332
2015-08-26,220.57,225.04,231.97,220.16,9825.99578748,2232648.834613803,226.65777474722915
2015-08-27,225.02,224.94,229.99,221.2,8437.55393643,1908922.603701663,226.07700461924998
2015-08-28,224.81,231.81,236.18,223.0,9458.61200141,2186666.515987148,229.99162655603473
2015-08-29,231.95,231.55,233.95,228.0,4815.1260600900005,1110789.7097360287,230.7355970419514
2015-08-30,231.55,227.9,232.15,226.59,5400.71390729,1234373.6521022404,228.78269103555556
2015-08-31,227.89,229.9,233.5,225.23,7977.4554983,1838835.5277236726,229.9954337936597
2015-09-01,229.91,226.91,230.51,226.42,8558.63334447,1953147.3316257582,228.20249753134723
2015-09-02,226.9,229.51,231.43,226.43,7999.4658953,1835178.8801927434,229.06755663574307
2015-09-03,229.51,227.62,230.1,226.48,7111.21946438,1619532.1649629625,227.87209989553472
2015-09-04,227.97,230.96,232.49,227.62,7726.36026484,1780639.4833598875,230.35031502561108
2015-09-05,230.93,242.5,243.75,230.5,7512.47506609,1768926.5393238447,234.32356165753473
2015-09-06,242.6,241.06,244.82,238.88,5448.10155977,1316159.7692278407,241.3371055431736
2015-09-07,241.07,242.51,243.95,239.21,5922.94894113,1428490.0594401201,241.03979946833334
2015-09-08,242.51,244.66,247.82,241.93,8619.01459986,2104733.3335432773,244.1464324565972
2015-09-09,244.66,238.84,244.69,238.6,7084.01859696,1703057.8184599322,240.440479141125
2015-09-10,238.85,241.03,241.4,236.69,6604.7298668,1579591.455829895,239.21415080031943
2015-09-11,241.11,240.43,241.54,239.33,6173.21343273,1485277.563924834,240.64965533043056
2015-09-12,240.39,236.1,241.12,235.03,5640.73960565,1342525.2379145685,238.32359554565275
2015-09-13,236.11,229.99,236.47,229.22,6330.1330135,1469940.7816364767,232.84562243368055
2015-09-14,229.98,231.55,233.99,228.01,8180.5533873,1893447.368821654,231.2579481049375
2015-09-15,231.53,231.93,232.3,230.26,7730.69367386,1786070.6775987453,231.1309147627639
2015-09-16,231.92,230.49,231.94,226.85,7965.4570732,1825964.8120944835,229.2484734837639
2015-09-17,230.32,233.48,235.93,229.01,7877.03239928,1830865.361553086,231.95198004640972
2015-09-18,233.5,233.66,234.5,231.75,6752.23510494,1576367.9150696616,233.3981328897639
2015-09-19,233.63,232.48,233.91,232.0,3471.99613926,808197.576440336,232.8307481581528
2015-09-20,232.46,231.93,234.0,231.84,4511.61362714,1049183.0460412093,232.5535771692639
2015-09-21,232.0,228.4,232.56,226.87,9052.61046986,2067743.472169716,228.31278680979165
2015-09-22,228.34,231.99,233.0,224.45,9583.73208182,2207709.9505892633,230.33911146512503
2015-09-23,232.0,231.44,232.22,229.27,7052.41420126,1628310.8999912536,230.92862214622917
2015-09-24,231.44,234.36,235.99,231.0,9888.82307717,2306643.406906329,233.35520616856945
2015-09-25,234.33,236.03,237.62,234.2,6993.95202632,1651583.7683880995,236.21246457498611
2015-09-26,236.03,234.75,236.03,233.5,4338.1062723000005,1018652.3408791114,234.83034821872224
2015-09-27,234.8,238.41,238.98,233.2,4519.10036447,1058875.5214718042,234.06503310312502
2015-09-28,238.42,239.65,241.05,237.0,9451.07499082,2258657.7436739155,238.93130345136808
2015-09-29,239.64,238.7,240.98,236.65,6545.73279728,1560700.4002335519,238.47992962602777
2015-09-30,238.71,238.12,238.75,236.26,5861.85891096,1392278.7564544633,237.47919338127778
2015-10-01,238.11,238.97,239.86,236.97,6404.58681172,1527145.543580624,238.2826541685764
2015-10-02,238.97,238.59,239.32,236.97,6742.69622257,1607309.4788720838,238.41871965767362
2015-10-03,238.6,239.88,240.62,238.15,4801.26975245,1150433.5844970776,239.55132884628475
2015-10-04,239.84,239.83,240.28,238.88,5056.420961,1211854.948186709,239.69491314561807
2015-10-05,239.83,241.35,241.57,237.5,8536.17413417,2045868.7080809632,239.71102538852776
2015-10-06,241.34,247.73,248.0,240.83,11728.64015048,2879437.7496597082,244.79992423260418
2015-10-07,247.73,245.19,247.73,240.2,9343.57953498,2291220.477291651,245.28859716472223
2015-10-08,245.22,243.42,245.38,241.1,6218.20538559,1516697.2551759717,244.06946112181248
2015-10-09,243.41,245.39,245.39,243.17,5217.69390655,1275127.4475000186,244.34279216043058
2015-10-10,245.38,245.79,246.62,243.8,4483.89962285,1100736.9743666195,245.3256778593264
2015-10-11,245.79,248.99,250.0,245.63,5259.17267438,1303589.5921176295,247.20573966908333
2015-10-12,248.82,245.43,249.14,244.86,6407.00309431,1582997.2677575427,247.12073849688196
2015-10-13,245.39,250.55,251.73,245.34,7956.76253831,1987726.569891081,249.43208323272916
2015-10-14,250.53,255.22,256.77,250.25,8347.62200537,2112969.902334724,252.72173152466667
2015-10-15,255.23,255.91,256.79,253.29,7167.29989445,1830655.9494317963,255.26698358858334
2015-10-16,255.94,267.05,268.98,255.52,10234.45027503,2685693.2317350116,261.87964810149305
2015-10-17,267.05,270.86,274.81,264.18,10920.07251366,2952562.6610039715,270.7855305164792
2015-10-18,270.85,267.21,272.5,262.94,6386.3345302,1703431.4662515824,267.55716893458333
2015-10-19,267.22,265.29,268.23,262.05,6595.59101034,1748187.777777876,265.0921444701042
2015-10-20,265.29,271.27,272.95,264.38,10427.98736665,2804300.274946157,268.8217563339514
2015-10-21,271.28,268.9,271.62,265.0,6901.62176756,1855332.1607817353,268.7762066526042
2015-10-22,268.88,276.03,280.0,268.82,9717.68905987,2671935.9548872956,274.32615610625
2015-10-23,276.03,281.86,281.98,275.79,6917.70367102,1926963.1350342755,278.65256135066664
2015-10-24,281.86,288.04,290.0,279.87,6767.15386421,1913612.1816271807,281.9484991265972
2015-10-25,288.04,285.59,295.93,283.28,10387.70542701,3016367.987943341,290.17103932022223
2015-10-26,285.61,288.47,293.76,282.04,8256.12628882,2364156.321375615,285.872503252625
2015-10-27,288.45,302.3,303.6,287.75,12456.57947028,3681903.715775401,294.16745338063197
2015-10-28,302.3,305.29,308.93,296.88,14766.43554381,4469498.381515109,302.9401490724861
